dist,rng,nit,time_s
uniform_real_distribution<double>,minstd_rand,4066449,1.00294
uniform_real_distribution<double>,minstd_rand,4054529,0.997861
uniform_real_distribution<double>,minstd_rand,4063221,0.997635
uniform_real_distribution<double>,minstd_rand,4072854,0.999865
uniform_real_distribution<double>,minstd_rand,4073404,1.00099
uniform_real_distribution<double>,minstd_rand,4069368,0.999179
uniform_real_distribution<double>,minstd_rand,4072712,1.00004
uniform_real_distribution<double>,mt19937,3115284,0.910512
uniform_real_distribution<double>,mt19937,3421465,0.910528
uniform_real_distribution<double>,mt19937,3757673,0.998664
uniform_real_distribution<double>,mt19937,3762700,0.998858
uniform_real_distribution<double>,mt19937,3767002,1.00376
uniform_real_distribution<double>,mt19937,3752906,1.00019
uniform_real_distribution<double>,mt19937,3752193,1.001
uniform_real_distribution<double>,mt19937,3748456,0.997632
uniform_real_distribution<double>,mt19937,3757353,1.00288
uniform_real_distribution<double>,mt19937,3746567,0.999861
uniform_real_distribution<double>,mt19937,3747088,0.995416
uniform_real_distribution<double>,mt19937,3764344,0.999415
uniform_real_distribution<double>,mt19937,3766547,0.999922
uniform_real_distribution<double>,mt19937,3766841,1.00151
uniform_real_distribution<double>,mt19937,3761154,1.00183
uniform_real_distribution<double>,mt19937,3754299,0.99893
uniform_real_distribution<double>,mt19937,3758320,0.998252
uniform_real_distribution<double>,mt19937,3764901,1.0014
uniform_real_distribution<double>,mt19937,3759641,0.997413
uniform_real_distribution<double>,mt19937,3769392,1.00158
uniform_real_distribution<double>,mt19937_64,8000064,0.976887
uniform_real_distribution<double>,mt19937_64,8189343,0.840784
uniform_real_distribution<double>,mt19937_64,9740124,0.998721
uniform_real_distribution<double>,mt19937_64,9752597,0.999636
uniform_real_distribution<double>,mt19937_64,9756148,0.999643
uniform_real_distribution<double>,mt19937_64,9759632,1.00601
uniform_real_distribution<double>,mt19937_64,9701317,1.00105
uniform_real_distribution<double>,mt19937_64,9691160,0.995285
uniform_real_distribution<double>,mt19937_64,9737069,0.997631
uniform_real_distribution<double>,mt19937_64,9760190,1.00205
uniform_real_distribution<double>,mt19937_64,9740212,0.997664
uniform_real_distribution<double>,mt19937_64,9763018,1.00027
uniform_real_distribution<double>,mt19937_64,9760382,0.999553
uniform_real_distribution<double>,mt19937_64,9764746,1.00188
uniform_real_distribution<double>,mt19937_64,9746402,0.998283
uniform_real_distribution<double>,mt19937_64,9763164,1.00238
uniform_real_distribution<double>,mt19937_64,9740021,0.998714
uniform_real_distribution<double>,mt19937_64,9752562,1.00227
uniform_real_distribution<double>,mt19937_64,9730463,0.997548
uniform_real_distribution<double>,mt19937_64,9754379,0.999127
uniform_real_distribution<double>,ranlux24_base,6711454,0.795621
uniform_real_distribution<double>,ranlux24_base,8435494,0.896523
uniform_real_distribution<double>,ranlux24_base,9409122,0.994993
uniform_real_distribution<double>,ranlux24_base,9456469,0.999948
uniform_real_distribution<double>,ranlux24_base,9456959,1.00026
uniform_real_distribution<double>,ranlux24_base,9454471,1.00121
uniform_real_distribution<double>,ranlux24_base,9443081,1.0035
uniform_real_distribution<double>,ranlux24_base,9410125,0.995534
uniform_real_distribution<double>,ranlux24_base,9452337,0.999418
uniform_real_distribution<double>,ranlux24_base,9457840,1.00087
uniform_real_distribution<double>,ranlux24_base,9449655,1.00398
uniform_real_distribution<double>,ranlux24_base,9412165,1.00034
uniform_real_distribution<double>,ranlux24_base,9408964,0.998618
uniform_real_distribution<double>,ranlux24_base,9421983,0.999735
uniform_real_distribution<double>,ranlux24_base,9424478,0.998121
uniform_real_distribution<double>,ranlux24_base,9442218,1.00127
uniform_real_distribution<double>,ranlux24_base,9430277,1.00401
uniform_real_distribution<double>,ranlux24_base,9392592,0.996955
uniform_real_distribution<double>,ranlux24_base,9421277,0.997676
uniform_real_distribution<double>,ranlux24_base,9443220,1.00066
uniform_real_distribution<double>,ranlux48_base,7936570,1.17624
uniform_real_distribution<double>,ranlux48_base,6747425,0.860299
uniform_real_distribution<double>,ranlux48_base,7843113,0.999689
uniform_real_distribution<double>,ranlux48_base,7845551,1.00052
uniform_real_distribution<double>,ranlux48_base,7841495,0.998101
uniform_real_distribution<double>,ranlux48_base,7856412,1.00102
uniform_real_distribution<double>,ranlux48_base,7848428,1.00401
uniform_real_distribution<double>,ranlux48_base,7817103,0.997803
uniform_real_distribution<double>,ranlux48_base,7834312,0.996888
uniform_real_distribution<double>,ranlux48_base,7858766,1.00282
uniform_real_distribution<double>,ranlux48_base,7836633,0.997412
uniform_real_distribution<double>,ranlux48_base,7856964,1.00056
uniform_real_distribution<double>,ranlux48_base,7852548,0.999928
uniform_real_distribution<double>,ranlux48_base,7853111,1.00464
uniform_real_distribution<double>,ranlux48_base,7816854,0.997675
uniform_real_distribution<double>,ranlux48_base,7835067,0.998239
uniform_real_distribution<double>,ranlux48_base,7848886,1.00095
uniform_real_distribution<double>,ranlux48_base,7841434,0.999612
uniform_real_distribution<double>,ranlux48_base,7844475,0.998307
uniform_real_distribution<double>,ranlux48_base,7857775,0.999815
uniform_real_distribution<double>,ranlux24,817667,0.987301
uniform_real_distribution<double>,ranlux24,828183,0.91321
uniform_real_distribution<double>,ranlux24,906892,0.998176
uniform_real_distribution<double>,ranlux24,908548,0.999522
uniform_real_distribution<double>,ranlux24,908982,1.00048
uniform_real_distribution<double>,ranlux24,908548,1.00314
uniform_real_distribution<double>,ranlux24,905701,1.00012
uniform_real_distribution<double>,ranlux24,905588,1.00094
uniform_real_distribution<double>,ranlux24,904739,0.999809
uniform_real_distribution<double>,ranlux24,904911,0.996951
uniform_real_distribution<double>,ranlux24,907678,1.00181
uniform_real_distribution<double>,ranlux24,906040,0.996836
uniform_real_distribution<double>,ranlux24,908915,1.00082
uniform_real_distribution<double>,ranlux24,908174,1.00053
uniform_real_distribution<double>,ranlux24,907695,0.99933
uniform_real_distribution<double>,ranlux24,908303,0.999477
uniform_real_distribution<double>,ranlux24,908777,1.00385
uniform_real_distribution<double>,ranlux24,905290,1.00011
uniform_real_distribution<double>,ranlux24,905186,0.996679
uniform_real_distribution<double>,ranlux24,908201,0.999488
uniform_real_distribution<double>,ranlux48,85867,0.518472
uniform_real_distribution<double>,ranlux48,165615,0.697471
uniform_real_distribution<double>,ranlux48,237450,1.00617
uniform_real_distribution<double>,ranlux48,235992,0.99555
uniform_real_distribution<double>,ranlux48,237046,0.999431
uniform_real_distribution<double>,ranlux48,237180,0.997503
uniform_real_distribution<double>,ranlux48,237773,1.00111
uniform_real_distribution<double>,ranlux48,237509,1.00206
uniform_real_distribution<double>,ranlux48,237021,0.998938
uniform_real_distribution<double>,ranlux48,237273,0.997544
uniform_real_distribution<double>,ranlux48,237857,1.0019
uniform_real_distribution<double>,ranlux48,237406,0.998264
uniform_real_distribution<double>,ranlux48,237818,1.00358
uniform_real_distribution<double>,ranlux48,236969,0.996237
uniform_real_distribution<double>,ranlux48,237864,1.00166
uniform_real_distribution<double>,ranlux48,237470,1.00017
uniform_real_distribution<double>,ranlux48,237429,0.998597
uniform_real_distribution<double>,ranlux48,237762,1.00038
uniform_real_distribution<double>,ranlux48,237672,1.00331
uniform_real_distribution<double>,ranlux48,236887,0.995911
uniform_real_distribution<double>,knuth_b,2331024,1.08125
uniform_real_distribution<double>,knuth_b,2155866,0.854251
uniform_real_distribution<double>,knuth_b,2523692,1.0009
uniform_real_distribution<double>,knuth_b,2521416,0.995496
uniform_real_distribution<double>,knuth_b,2532824,0.999989
uniform_real_distribution<double>,knuth_b,2532852,0.999517
uniform_real_distribution<double>,knuth_b,2534076,1.00524
uniform_real_distribution<double>,knuth_b,2520877,0.994895
uniform_real_distribution<double>,knuth_b,2533812,1.00052
uniform_real_distribution<double>,knuth_b,2532506,1.00221
uniform_real_distribution<double>,knuth_b,2526932,0.998551
uniform_real_distribution<double>,knuth_b,2530599,1.00022
uniform_real_distribution<double>,knuth_b,2530043,0.999583
uniform_real_distribution<double>,knuth_b,2531099,1.00105
uniform_real_distribution<double>,knuth_b,2528442,0.99952
uniform_real_distribution<double>,knuth_b,2529657,1.00024
uniform_real_distribution<double>,knuth_b,2529058,1.00245
uniform_real_distribution<double>,knuth_b,2522865,0.995997
uniform_real_distribution<double>,knuth_b,2533005,1.00151
uniform_real_distribution<double>,knuth_b,2529191,1.00091
